小区编号,小区栋数,小区户数（户）,小区人口数（人）,小区横坐标,小区纵坐标,街道编号,所属区域
1,11,1060,2417,57.9025,62.13233333,C0035,宽城区
2,37,4171,9080,51.79225,61.60666667,C0048,宽城区
3,3,480,1333,54.80225,54.881,C0010,宽城区
4,19,1093,2658,54.21575,67.84233333,C0053,宽城区
5,15,1330,3033,56.7305,61.47933333,C0035,宽城区
6,11,2546,5450,47.82175,65.638,C0054,宽城区
7,10,1365,3806,57.871,59.009,C0024,宽城区
8,27,1996,4853,53.9115,68.63166667,C0053,宽城区
9,10,972,2002,54.8905,67.575,C0034,宽城区
10,20,762,2775,57.7405,64.64233333,C0029,宽城区
11,12,1415,3504,58.35525,69.70933333,C0030,宽城区
12,9,575,1184,54.7115,61.394,C0034,宽城区
13,5,624,2272,57.81225,65.95966667,C0029,宽城区
14,23,2167,5498,53.98225,72.23533333,C0056,宽城区
15,16,711,2589,57.75,62.89866667,C0029,宽城区
16,34,2403,8007,60.693,66.162,C0040,宽城区
17,13,1309,2766,57.776,59.85366667,C0027,宽城区
18,38,4237,8960,58.34025,68.891,C0041,宽城区
19,9,625,1548,58.5285,66.31233333,C0030,宽城区
20,25,1217,3395,58.4545,58.33766667,C0024,宽城区
21,7,415,1027,58.94275,62.983,C0030,宽城区
22,21,1578,3825,46.35725,60.52333333,C0049,宽城区
23,18,687,1566,57.688,63.829,C0035,宽城区
24,17,775,1837,58.78325,63.85566667,C0023,宽城区
25,5,975,2176,53.817,56.406,C0019,宽城区
26,3,1310,2900,63.41525,53.26933333,C0018,宽城区
27,10,609,1290,52.57475,62.80033333,C0047,宽城区
28,13,574,1361,58.748,64.52433333,C0023,宽城区
29,13,964,2000,60.34775,57.419,C0026,宽城区
30,13,1691,4008,60.7765,62.90566667,C0023,宽城区
31,21,3174,6491,62.0865,49.137,C0058,宽城区
32,3,295,673,56.6375,60.85733333,C0035,宽城区
33,11,1340,2831,59.83775,62.90666667,C0027,宽城区
34,13,1454,3075,59.6325,65.77666667,C0041,宽城区
35,34,1868,4109,60.917,65.80566667,C0039,宽城区
36,4,875,2009,57.38075,50.39333333,C0006,宽城区
37,20,1239,2766,48.22975,64.22666667,C0051,宽城区
38,17,967,2065,50.00025,62.728,C0045,宽城区
39,4,587,1383,53.61875,56.017,C0020,宽城区
40,33,1758,3924,55.077,60.05933333,C0019,宽城区
41,9,1064,2654,59.88575,63.489,C0028,宽城区
42,7,350,722,52.7995,50.09033333,C0015,宽城区
43,20,1336,2982,49.933,64.77166667,C0051,宽城区
44,10,774,1722,52.343,65.14366667,C0043,宽城区
45,3,256,812,55.08825,59.04633333,C0033,宽城区
46,29,2270,5371,61.108,51.88166667,C0022,宽城区
47,14,1078,2238,50.79075,63.61733333,C0042,宽城区
48,10,1218,3719,58.61275,50.521,C0002,宽城区
49,2,563,1963,59.2395,54.91666667,C0025,宽城区
50,12,1677,3868,65.043,65.54233333,C0031,宽城区
51,15,844,1982,63.6135,60.027,C0037,宽城区
52,7,552,1228,53.57025,66.15133333,C0043,宽城区
53,21,1250,3479,51.426,67.849,C0055,宽城区
54,17,1233,3432,50.323,68.87133333,C0055,宽城区
55,2,616,1472,45.091,60.59,C0046,宽城区
56,10,559,1194,49.09525,64.29533333,C0045,宽城区
57,7,611,1316,50.98475,65.579,C0044,宽城区
58,4,421,960,55.13225,59.117,C0035,宽城区
59,1,210,662,54.4555,50.27333333,C0011,宽城区
60,4,475,1024,63.00525,49.81533333,C0003,宽城区
61,11,650,1351,56.94125,57.077,C0021,宽城区
62,6,421,874,60.59975,56.74466667,C0026,宽城区
63,7,590,1260,50.2475,63.85266667,C0045,宽城区
64,11,540,1202,51.55975,66.71966667,C0043,宽城区
65,12,1045,2168,60.34775,57.419,C0026,宽城区
66,17,1381,3205,58.95875,60.10766667,C0032,宽城区
67,10,571,1186,50.39475,64.6,C0042,宽城区
68,7,1703,3762,58.765,53.25366667,C0016,宽城区
69,7,643,1333,61.59875,55.67133333,C0026,宽城区
70,9,764,1700,51.85475,65.743,C0043,宽城区
71,11,820,1785,48.9105,62.95133333,C0048,宽城区
72,9,659,1459,63.52425,55.13,C0018,宽城区
73,7,446,992,51.7395,65.18966667,C0043,宽城区
74,5,811,2023,62.1765,59.60833333,C0028,宽城区
75,15,2015,4649,64.1065,64.57933333,C0031,宽城区
76,3,1547,3602,55.07075,55.23033333,C0013,宽城区
77,10,865,1796,50.4975,64.88233333,C0042,宽城区
78,7,1405,3400,57.13075,48.42,C0001,宽城区
79,3,448,923,54.72475,60.65566667,C0034,宽城区
80,6,280,577,55.0225,62.24566667,C0034,宽城区
81,5,371,886,44.716,62.011,C0046,宽城区
82,9,581,1349,57.9535,56.54433333,C0032,宽城区
83,7,491,1246,53.98225,72.23533333,C0056,宽城区
84,4,552,1285,53.5485,51.73033333,C0013,宽城区
85,11,810,1834,47.7665,64.047,C0050,宽城区
86,12,911,2016,63.4415,56.01966667,C0018,宽城区
87,14,557,1331,45.3545,61.48766667,C0046,宽城区
88,1,89,203,56.307,58.83566667,C0035,宽城区
89,3,354,788,53.5545,67.99033333,C0043,宽城区
90,7,513,1096,50.51675,63.039,C0045,宽城区
91,3,236,491,55.15325,57.427,C0021,宽城区
92,13,843,1801,50.15575,61.63833333,C0045,宽城区
93,4,152,313,55.38425,61.44333333,C0034,宽城区
94,10,731,1516,61.60575,56.619,C0026,宽城区
95,5,367,855,53.48425,52.09533333,C0013,宽城区
96,10,617,1496,49.0225,61.387,C0049,宽城区
97,13,908,2265,60.34425,58.37033333,C0028,宽城区
98,10,948,2042,52.81475,63.788,C0044,宽城区
99,16,1735,3574,58.6385,69.42866667,C0034,宽城区
100,10,625,1346,50.4215,63.37833333,C0044,宽城区
101,10,618,1715,63.67875,59.481,C0036,宽城区
102,5,529,1246,53.89575,55.53566667,C0020,宽城区
103,6,390,905,56.99075,59.61,C0032,宽城区
104,6,472,1144,46.39425,61.20433333,C0049,宽城区
105,4,385,801,58.9515,56.36433333,C0021,宽城区
106,3,185,381,55.17275,59.019,C0034,宽城区
107,4,250,519,60.11975,56.72233333,C0026,宽城区
108,4,418,1545,57.0785,52.74566667,C0009,宽城区
109,6,524,1307,58.77725,60.69466667,C0028,宽城区
110,8,596,1262,51.6905,59.08066667,C0047,宽城区
111,3,227,480,51.1395,62.86766667,C0047,宽城区
112,5,235,484,54.5835,62.755,C0034,宽城区
113,1,97,252,56.57275,50.26366667,C0008,宽城区
114,15,835,2632,54.5625,52.53766667,C0011,宽城区
115,4,246,511,56.75025,58.644,C0021,宽城区
116,10,635,1405,62.63975,57.45333333,C0018,宽城区
117,7,520,1148,59.00125,51.34233333,C0016,宽城区
118,4,133,274,52.2165,50.612,C0015,宽城区
119,3,218,462,52.477,62.38966667,C0047,宽城区
120,1,37,77,56.075,60.23,C0034,宽城区
121,8,578,1267,51.5605,50.32833333,C0014,宽城区
122,4,184,394,48.9355,63.92966667,C0054,宽城区
123,13,1298,4224,54.607,50.953,C0012,宽城区
124,1,363,802,59.97825,54.99133333,C0016,宽城区
125,5,391,843,49.22475,63.62666667,C0044,宽城区
126,12,497,1070,51.30225,64.70133333,C0044,宽城区
127,1,78,207,56.51475,58.31733333,C0017,宽城区
128,7,270,556,52.87075,51.997,C0015,宽城区
129,3,374,846,47.9235,64.40366667,C0050,宽城区
130,4,340,1135,62.81275,50.456,C0004,宽城区
131,1,378,1049,54.92375,53.135,C0010,宽城区
132,1,225,597,56.61075,57.70233333,C0017,宽城区
133,3,281,746,57.61525,57.02166667,C0017,宽城区
134,4,285,922,62.54375,59.334,C0038,宽城区
135,1,62,144,52.9295,50.56466667,C0013,宽城区
136,11,708,1971,52.20725,67.51133333,C0055,宽城区
137,4,396,854,63.67925,50.285,C0003,宽城区
138,10,781,1684,63.2495,49.09333333,C0003,宽城区
139,7,508,1410,63.7355,58.698,C0036,宽城区
140,3,190,504,56.91025,57.39466667,C0017,宽城区
141,7,323,783,47.08325,61.783,C0049,宽城区
142,8,562,1190,52.069,62.88766667,C0047,宽城区
143,3,108,254,55.13225,59.117,C0020,宽城区
144,7,740,1963,58.607,52.66533333,C0017,宽城区
145,7,585,1418,45.91425,60.10366667,C0049,宽城区
146,1,116,241,60.93575,55.52266667,C0026,宽城区
147,2,173,646,58.06175,49.724,C0007,宽城区
148,12,853,1959,55.549,51.79666667,C0006,宽城区
149,7,667,1664,58.8405,61.229,C0028,宽城区
150,5,316,669,51.97225,64.29866667,C0047,宽城区
151,7,312,756,47.1875,61.748,C0049,宽城区
152,4,219,464,52.363,65.05133333,C0047,宽城区
153,5,344,729,51.30225,64.70133333,C0047,宽城区
154,5,234,785,52.19525,50.20133333,C0057,宽城区
155,5,414,871,63.03875,50.75,C0005,宽城区
156,5,377,835,62.25075,57.269,C0018,宽城区
157,7,672,1705,54.33875,68.61966667,C0056,宽城区
158,3,354,1081,59.575,52.13,C0002,宽城区
159,4,277,662,45.555,62.71533333,C0046,宽城区
160,3,443,1044,55.7775,60.768,C0020,宽城区
161,1,328,1095,61.739,49.78733333,C0004,宽城区
162,1,240,514,51.48125,63.497,C0054,宽城区
163,8,439,972,62.3865,56.51133333,C0018,宽城区
