节点编号,路口横坐标,路口纵坐标
1,87.9522,47.70426667
2,87.92585,47.5839
3,87.888775,47.41473333
4,50.265275,49.65166667
5,49.7614,49.8097
6,49.74395,49.8181
7,49.326725,49.9928
8,49.1268,50.07343333
9,79.7035,43.16796667
10,79.674525,42.95333333
11,80.3281,42.57673333
12,80.588675,42.80086667
13,80.628125,43.0814
14,80.524725,43.29973333
15,79.765375,43.2693
16,48.80125,47.53016667
17,49.077825,48.08326667
18,49.2037,48.691
19,49.3934,49.0713
20,49.461875,49.20983333
21,81.83905,43.7367
22,75.8172,43.33063333
23,75.815825,43.2316
24,75.82025,42.90563333
25,75.826475,40.96746667
26,75.82645,40.87116667
27,75.848375,39.73733333
28,75.8512,39.6887
29,75.876525,38.62396667
30,75.89505,37.59593333
31,75.89555,37.5677
32,75.89555,37.52313333
33,54.8221,44.59543333
34,54.869375,44.5955
35,55.30095,44.3657
36,56.00905,43.9418
37,56.078125,43.89756667
38,56.616625,43.5228
39,57.13545,43.17353333
40,57.982625,42.85953333
41,59.085,42.45656667
42,59.139925,42.4331
43,82.1941,43.77216667
44,82.3693,43.83776667
45,39.91995,30.82886667
46,39.872825,30.83213333
47,39.4362,30.3835
48,38.330525,29.22333333
49,36.991175,27.84143333
50,36.0777,26.9145
51,35.9016,26.73423333
52,35.77105,26.56443333
53,35.46855,26.17103333
54,61.084375,43.18093333
55,60.981425,43.18096667
56,60.735075,43.17583333
57,60.624975,43.16743333
58,60.6015,43.1668
59,60.38435,43.12976667
60,59.621,42.74513333
61,59.58715,42.72716667
62,59.1457,42.48646667
63,59.025675,42.41703333
64,58.2078,41.9912
65,56.9011,41.96963333
66,56.184475,41.9555
67,55.4386,41.94213333
68,54.60645,41.93943333
69,54.58465,41.9399
70,54.548325,41.9378
71,54.523725,41.9378
72,54.207125,41.92723333
73,52.84145,41.90873333
74,52.8047,41.90823333
75,51.10585,41.883
76,50.3651,41.86773333
77,50.255575,41.86576667
78,49.526275,41.85593333
79,48.7372,41.84443333
80,48.24355,41.8373
81,47.740025,41.83
82,47.184175,41.82523333
83,47.078125,41.826
84,46.8778,41.8054
85,45.359375,42.02716667
86,44.03345,42.6733
87,43.45895,43.01873333
88,29.86685,24.8838
89,32.775875,22.7441
90,32.814375,22.71216667
91,34.69865,21.3333
92,29.16615,28.76796667
93,29.159425,28.7141
94,29.486375,27.71993333
95,29.100025,26.727
96,28.904775,26.31266667
97,28.899,26.28653333
98,30.009975,31.31493333
99,29.78815,31.71683333
100,29.760125,31.75726667
101,29.2908,32.606
102,28.87985,33.3357
103,28.84015,33.4053
104,28.454875,34.11253333
105,28.019775,34.9633
106,45.53365,41.86146667
107,45.754325,41.66386667
108,48.95185,40.0816
109,48.770925,39.90676667
110,48.598025,39.73953333
111,48.445775,39.59806667
112,48.191,39.364
113,48.1604,39.3335
114,30.524175,19.87043333
115,30.55325,19.8465
116,32.47665,18.46626667
117,33.15875,17.97613333
118,33.29995,17.86126667
119,27.486275,22.1356
120,34.727725,21.36803333
121,33.928,20.34173333
122,32.842625,22.74836667
123,32.8031,22.77863333
124,29.890075,24.90886667
125,35.981925,20.3831
126,36.0144,20.35906667
127,36.05185,20.3348
128,36.08415,20.31193333
129,36.45025,20.06626667
130,37.47965,19.9278
131,38.2579,19.86353333
132,39.020125,19.8248
133,39.827825,19.79073333
134,40.55215,19.76426667
135,40.779775,19.73753333
136,41.732675,32.6837
137,41.755725,31.04816667
138,41.777175,28.98616667
139,18.074475,29.96983333
140,16.74375,29.67343333
141,15.487875,29.3937
142,15.421725,29.37823333
143,14.086925,29.0661
144,12.0479,28.60366667
145,41.4171,41.04906667
146,41.439425,41.0704
147,41.3681,41.32183333
148,41.337075,41.32573333
149,41.309175,41.32223333
150,41.27485,41.31713333
151,41.1694,41.17663333
152,41.185675,41.11763333
153,41.21535,41.0733
154,41.32455,41.01973333
155,41.6894,40.79763333
156,41.941075,40.5531
157,42.22195,40.28503333
158,42.32095,40.20523333
159,42.8442,39.5375
160,43.22495,39.2683
161,43.29875,39.22303333
162,43.32045,39.21103333
163,44.108325,38.6958
164,44.737425,38.26863333
165,45.11315,37.8894
166,45.811425,37.20153333
167,45.8497,37.1637
168,45.8586,37.1403
169,46.126275,36.8903
170,46.532275,36.49196667
171,46.93875,36.09313333
172,47.384825,35.6609
173,47.5182,35.52693333
174,48.077675,34.97376667
175,28.012625,30.82253333
176,28.479925,31.04246667
177,28.50655,31.05646667
178,30.985925,32.3468
179,48.392725,47.71926667
180,48.574975,47.63223333
181,38.871925,49.98786667
182,38.85445,49.95346667
183,38.885375,48.0061
184,38.89875,47.09486667
185,38.910175,46.49743333
186,38.953125,45.5496
187,41.024825,44.03653333
188,40.94515,44.01403333
189,40.08765,44.0049
190,38.971475,43.99303333
191,37.13935,43.9679
192,37.103775,43.96553333
193,35.336425,43.9384
194,33.093,43.90176667
195,33.041675,43.89836667
196,38.590275,36.5212
197,38.3773,36.81236667
198,37.1039,38.57083333
199,37.0537,38.31943333
200,38.9553,46.49813333
201,38.942825,47.0954
202,38.933175,47.929
203,38.92035,48.76046667
204,38.89735,49.95263333
205,36.959275,38.8913
206,37.152425,39.1629
207,34.9855,30.67486667
208,33.322775,30.8132
209,46.041875,32.65846667
210,46.053225,32.7505
211,46.04185,32.81813333
212,46.00385,32.9138
213,45.895025,33.0102
214,45.575075,32.99736667
215,45.491325,32.91103333
216,45.439025,32.81156667
217,45.4443,32.70926667
218,45.69315,32.45883333
219,45.7997,32.45986667
220,45.824825,32.46833333
221,50.33215,37.45706667
222,50.185575,37.39086667
223,50.15805,37.36646667
224,50.156325,36.939
225,50.175125,36.9204
226,50.606475,36.93726667
227,50.63295,36.95626667
228,50.701825,37.13886667
229,50.699,37.18123333
230,50.446,37.45113333
231,45.541975,33.0305
232,44.36745,34.20636667
233,43.585275,34.95646667
234,43.550325,34.99056667
235,42.91565,35.6543
236,42.5667,35.99373333
237,42.3497,36.20736667
238,42.05245,36.47126667
239,41.994725,36.52596667
240,41.85845,36.64806667
241,49.50145,36.3273
242,48.1058,34.99853333
243,47.008675,33.96546667
244,46.07085,33.0755
245,38.5893,32.63803333
246,38.8796,32.6426
247,39.1544,32.64693333
248,39.964575,32.6528
249,40.62905,32.6617
250,42.4546,32.69656667
251,42.84425,32.70336667
252,44.8479,32.73843333
253,45.385125,32.74996667
254,38.77845,32.38813333
255,38.8012,32.3581
256,39.513625,31.3494
257,39.895275,30.799
258,41.371475,28.74026667
259,42.6475,26.87423333
260,42.832,26.61586667
261,42.891475,26.5326
262,54.756225,32.9213
263,54.705525,32.94926667
264,54.130125,33.50193333
265,53.765275,33.86893333
266,52.759525,34.85016667
267,52.320625,35.2863
268,52.29845,35.30773333
269,51.844825,35.75836667
270,51.364975,36.22776667
271,38.2503,32.63896667
272,50.4314,38.11436667
273,50.421075,38.5442
274,50.41335,39.05813333
275,50.403425,39.58906667
276,50.38975,40.51583333
277,50.382575,41.03586667
278,50.3666,41.80796667
279,50.36605,41.83383333
280,50.255175,41.8315
281,50.25615,41.80613333
282,50.294175,39.58623333
283,50.3019,39.0562
284,50.314275,38.54456667
285,50.3194,38.11226667
286,45.69385,32.4142
287,45.684425,32.22883333
288,45.706625,31.09926667
289,45.749875,29.0834
290,45.744425,28.1554
291,45.741425,28.05453333
292,45.727575,26.79326667
293,45.731825,26.7193
294,47.29115,17.0798
295,47.292825,16.24643333
296,47.294575,15.37586667
297,47.294575,14.71433333
298,47.295925,14.65746667
299,47.295075,11.96243333
300,47.29505,11.8967
301,47.297975,9.275266667
302,47.30435,8.648266667
303,51.69415,37.15283333
304,52.31485,37.16316667
305,52.882575,37.17076667
306,52.911725,37.1709
307,53.4715,37.18173333
308,54.060275,37.18456667
309,54.633975,37.1966
310,54.68115,37.1982
311,54.706875,37.19956667
312,55.540875,37.21183333
313,58.485775,37.25643333
314,59.464925,37.27106667
315,59.6173,37.27456667
316,59.733625,37.27683333
317,61.211675,37.29823333
318,62.164375,37.312
319,62.5594,37.318
320,54.589575,26.89536667
321,52.443575,26.8411
322,50.70505,26.88036667
323,50.477225,26.87713333
324,48.8612,26.7733
325,48.557725,26.7688
326,46.939675,26.7477
327,46.7665,26.74543333
328,46.4572,26.7414
329,45.98975,26.79226667
330,43.94095,26.7081
331,43.055275,26.68013333
332,42.37005,26.4024
333,55.069925,26.8519
334,55.04375,26.92633333
335,54.9704,27.00736667
336,54.8801,27.04546667
337,54.772925,27.0481
338,54.591525,26.72633333
339,54.7137,26.59823333
340,54.750775,26.5841
341,54.898425,26.58453333
342,54.9728,26.62106667
343,55.042975,26.699
344,63.342275,33.00583333
345,64.5355,33.03473333
346,64.59055,33.03796667
347,65.994425,33.04786667
348,67.3252,33.00686667
349,67.453075,33.3118
350,67.32365,33.154
351,67.4937,32.83686667
352,67.690825,32.84156667
353,67.854,33.0228
354,67.85305,33.15466667
355,67.697475,33.32216667
356,54.576825,45.17633333
357,54.544475,45.2185
358,54.52725,45.28976667
359,54.52505,45.7712
360,54.512475,46.31266667
361,54.500225,46.8974
362,54.491725,47.4536
363,54.488875,47.75113333
364,54.48785,47.7951
365,54.47055,48.49156667
366,54.467275,49.265
367,54.4665,49.2926
368,54.46415,49.34643333
369,54.46085,49.703
370,48.153,39.3158
371,48.0736,39.26413333
372,47.564,38.77506667
373,46.8294,38.08073333
374,46.5938,37.85836667
375,46.34175,37.6218
376,45.8802,37.19033333
377,45.5785,36.90416667
378,45.064125,36.4144
379,44.8293,36.192
380,44.3056,35.68816667
381,43.479125,34.92396667
382,43.411725,34.85873333
383,42.385425,33.89553333
384,38.201325,32.6068
385,37.053125,31.8526
386,36.756425,31.6577
387,35.8595,31.06853333
388,35.394025,30.77946667
389,38.570275,32.66636667
390,38.47235,32.81223333
