,Number,HouseCount,HomeCount,Population,h,z,StreetNubmer,Area,node,AreaCode,StreetID,nodeCount
0,1,11,1060,2417,57.9025,62.13233333,C0035,宽城区,5863,2,171,6
1,2,37,4171,9080,51.79225,61.60666667,C0048,宽城区,5262,2,184,2
2,3,3,480,1333,54.80225,54.881,C0010,宽城区,5555,2,146,2
3,4,19,1093,2658,54.21575,67.84233333,C0053,宽城区,5568,2,189,2
4,5,15,1330,3033,56.7305,61.47933333,C0035,宽城区,5762,2,171,6
5,6,11,2546,5450,47.82175,65.638,C0054,宽城区,4866,2,190,3
6,7,10,1365,3806,57.871,59.00899999999999,C0024,宽城区,5860,2,160,2
7,8,27,1996,4853,53.9115,68.63166667,C0053,宽城区,5469,2,189,2
8,9,10,972,2002,54.8905,67.575,C0034,宽城区,5568,2,170,9
9,10,20,762,2775,57.7405,64.64233333,C0029,宽城区,5865,2,165,3
10,11,12,1415,3504,58.35525,69.70933333,C0030,宽城区,5970,2,166,3
11,12,9,575,1184,54.7115,61.394,C0034,宽城区,5562,2,170,9
12,13,5,624,2272,57.81225,65.95966667,C0029,宽城区,5866,2,165,3
13,14,23,2167,5498,53.98225,72.23533333,C0056,宽城区,5473,2,192,3
14,15,16,711,2589,57.75,62.89866667,C0029,宽城区,5863,2,165,3
15,16,34,2403,8007,60.693000000000005,66.16199999999999,C0040,宽城区,6167,2,176,1
16,17,13,1309,2766,57.776,59.85366667,C0027,宽城区,5860,2,163,2
17,18,38,4237,8960,58.34025,68.891,C0041,宽城区,5969,2,177,2
18,19,9,625,1548,58.5285,66.31233333,C0030,宽城区,5967,2,166,3
19,20,25,1217,3395,58.4545,58.33766667,C0024,宽城区,5959,2,160,2
20,21,7,415,1027,58.94275,62.983000000000004,C0030,宽城区,5963,2,166,3
21,22,21,1578,3825,46.35725,60.52333333,C0049,宽城区,4761,2,185,6
22,23,18,687,1566,57.688,63.82899999999999,C0035,宽城区,5864,2,171,6
23,24,17,775,1837,58.78325,63.85566667,C0023,宽城区,5964,2,159,3
24,25,5,975,2176,53.817,56.406000000000006,C0019,宽城区,5457,2,155,2
25,26,3,1310,2900,63.41525,53.26933333,C0018,宽城区,6454,2,154,6
26,27,10,609,1290,52.57475,62.80033333,C0047,宽城区,5363,2,183,8
27,28,13,574,1361,58.748000000000005,64.52433333,C0023,宽城区,5965,2,159,3
28,29,13,964,2000,60.34775,57.419,C0026,宽城区,6158,2,162,7
29,30,13,1691,4008,60.7765,62.90566667,C0023,宽城区,6163,2,159,3
30,31,21,3174,6491,62.0865,49.137,C0058,宽城区,6350,2,194,1
31,32,3,295,673,56.6375,60.85733333,C0035,宽城区,5761,2,171,6
32,33,11,1340,2831,59.83775,62.90666667,C0027,宽城区,6063,2,163,2
33,34,13,1454,3075,59.6325,65.77666667,C0041,宽城区,6066,2,177,2
34,35,34,1868,4109,60.917,65.80566667,C0039,宽城区,6166,2,175,1
35,36,4,875,2009,57.38075,50.39333333,C0006,宽城区,5851,2,142,2
36,37,20,1239,2766,48.22975,64.22666667,C0051,宽城区,4965,2,187,2
37,38,17,967,2065,50.00025,62.728,C0045,宽城区,5163,2,181,5
38,39,4,587,1383,53.61875,56.016999999999996,C0020,宽城区,5457,2,156,6
39,40,33,1758,3924,55.077,60.05933333,C0019,宽城区,5661,2,155,2
40,41,9,1064,2654,59.88575,63.489,C0028,宽城区,6064,2,164,5
41,42,7,350,722,52.7995,50.09033333,C0015,宽城区,5351,2,151,3
42,43,20,1336,2982,49.933,64.77166667,C0051,宽城区,5065,2,187,2
43,44,10,774,1722,52.343,65.14366667,C0043,宽城区,5366,2,179,6
44,45,3,256,812,55.08825,59.04633333,C0033,宽城区,5660,2,169,1
45,46,29,2270,5371,61.108000000000004,51.88166667,C0022,宽城区,6252,2,158,1
46,47,14,1078,2238,50.79075,63.61733333,C0042,宽城区,5164,2,178,3
47,48,10,1218,3719,58.61275,50.521,C0002,宽城区,5951,2,138,2
48,49,2,563,1963,59.2395,54.91666667,C0025,宽城区,6055,2,161,1
49,50,12,1677,3868,65.043,65.54233333,C0031,宽城区,6666,2,167,3
50,51,15,844,1982,63.6135,60.027,C0037,宽城区,6461,2,173,1
51,52,7,552,1228,53.57025,66.15133333,C0043,宽城区,5467,2,179,6
52,53,21,1250,3479,51.426,67.84899999999999,C0055,宽城区,5268,2,191,4
53,54,17,1233,3432,50.323,68.87133333,C0055,宽城区,5169,2,191,4
54,55,2,616,1472,45.091,60.59,C0046,宽城区,4661,2,182,4
55,56,10,559,1194,49.09525,64.29533333,C0045,宽城区,5065,2,181,5
56,57,7,611,1316,50.98475,65.579,C0044,宽城区,5166,2,180,5
57,58,4,421,960,55.13225,59.117,C0035,宽城区,5660,2,171,6
58,59,1,210,662,54.4555,50.27333333,C0011,宽城区,5551,2,147,2
