区域,全市总计,九台区,长春新区,净月区,绿园区,朝阳区,经开区,双阳区,宽城区,南关区,汽开区,二道区,莲花山区,,公主岭市,德惠市,榆树市,农安县
3月4日,,,,,,,,,,,,,,,,,,
3月5日,,,,,,,,,,,,,,,,,,
3月6日,5,2,,1,1,,1,,,,,,,,1,,,
3月7日,6,,,2,,1,1,,,,,,,,1,1,,
3月8日,10,7,,,,,,3,,,,,,,,,,
3月9日,25,15,4,1,2,,,,1,,,,,,,,2,
3月10,21,18,,,,,2,,,,,,,,1,,,
3月11,97,65,16,,,,3,2,,5,1,,,,2,2,1,
3月12,42,25,7,1,1,,,2,,,,,,,,3,2,1
3月13,3,3,,,,,,,,,,,,,,,,
3月14,3,3,,,,,,,,,,,,,,,,
3月15,3,1,2,,,,,,,,,,,,,,,
3月16,5,,1,,,4,,,,,,,,,,,,
3月17,0,,,,,,,,,,,,,,,,,
3月18,1,1,,,,,,,,,,,,,,,,
3月19,3,,,,1,2,,,,,,,,,,,,
3月20,1,,,,,1,,,,,,,,,,,,
3月21,0,,,,,,,,,,,,,,,,,
3月22,0,,,,,,,,,,,,,,,,,
3月23,253,211,3,,,1,,,,1,,,,,,,37,
3月24,290,102,5,3,9,15,41,3,17,14,2,11,,,,4,54,10
3月25,403,71,41,24,27,30,21,4,75,24,22,18,,,4,2,39,1
3月26,495,,,,,22,,3,,,9,20,1,,,2,85,5
3月27,330,58,52,37,12,14,57,1,17,8,12,11,4,,,2,40,5
3月28,310,160,18,7,8,12,11,1,30,9,6,6,,,1,1,38,2
3月29,348,85,20,12,33,23,14,1,75,16,4,5,,,1,4,54,1
3月30,422,153,50,4,4,19,22,,61,8,1,95,1,,1,1,2,
3月31,444,101,8,2,77,12,13,5,194,17,2,8,1,,1,1,,2
4月1,894,232,16,9,82,33,64,4,315,92,22,17,1,,4,,,3
4月2,3100,576,136,85,326,331,218,2,581,274,79,454,1,,3,9,18,7
4月3,2346,177,165,97,293,268,166,2,321,636,91,104,,,3,4,17,2
4月4,1336,152,87,51,86,139,130,,378,131,54,95,,,1,24,4,4
4月5,1682,100,62,53,232,189,147,,662,111,48,52,,,1,12,13,
4月6,1423,85,60,50,209,85,250,,388,204,23,58,,,1,8,2,
4月7,1553,63,52,77,144,153,172,,464,258,36,119,,,2,9,4,
4月8,648,30,25,15,47,35,28,,314,86,8,50,,,,2,8,
4月9,703,11,16,6,190,22,48,,323,62,2,18,,,2,2,1,
4月10,743,25,13,21,227,32,36,,272,55,,54,,,1,2,3,2
4月11,570,50,11,24,158,29,48,,151,55,3,28,,,,10,3,
4月12,801,18,55,20,104,71,67,,337,53,15,51,,,1,7,1,1
4月13,621,42,32,26,108,20,33,,287,10,9,45,,,1,2,6,
4月14,298,,,,,,,,,,,,,,,,,
4月15,407,,,,,,,,,,,,,,,,,
4月16,491,,,,,,,,,,,,,,,,,
4月17,348,,,,,,,,,,,,,,,,,
4月18,365,,,,,,,,,,,,,,,,,
4月19,243,,,,,,,,,,,,,,,,,
4月20,233,,,,,,,,,,,,,,,,,
4月21,211,,,,,,,,,,,,,,,,,
4月22,188,,,,,,,,,,,,,,,,,
4月23,127,,,,,,,,,,,,,,,,,
4月24,89,,,,,,,,,,,,,,,,,
4月25,89,,,,,,,,,,,,,,,,,
4月26,66,,,,,,,,,,,,,,,,,
4月27,89,,,,,,,,,,,,,,,,,
4月28,39,,,,,,,,,,,,,,,,,
4月29,29,,,,,,,,,,,,,,,,,
4月30,23,,,,,,,,,,,,,,,,,
5月1,13,,,,,,,,,,,,,,,,,
5月2,20,,,,,,,,,,,,,,,,,
5月3,36,,,,,,,,,,,,,,,,,
5月4,18,,,,,,,,,,,,,,,,,
5月5,9,,,,,,,,,,,,,,,,,
5月6,20,,,,,,,,,,,,,,,,,
5月7,18,,,,,,,,,,,,,,,,,
5月8,3,,,,,,,,,,,,,,,,,
5月9,6,,,,,,,,,,,,,,,,,
5月10,3,,,,,,,,,,,,,,,,,
5月11,1,,,,,,,,,,,,,,,,,
5月12,0,,,,,,,,,,,,,,,,,
5月13,0,,,,,,,,,,,,,,,,,
5月14,1,,,,,,,,,,,,,,,,,
5月15,0,,,,,,,,,,,,,,,,,
5月16,0,,,,,,,,,,,,,,,,,
5月17,0,,,,,,,,,,,,,,,,,
5月18,0,,,,,,,,,,,,,,,,,
5月19,0,,,,,,,,,,,,,,,,,
5月20,0,,,,,,,,,,,,,,,,,
5月21,0,,,,,,,,,,,,,,,,,
5月22,0,,,,,,,,,,,,,,,,,
5月23,0,,,,,,,,,,,,,,,,,
注：上述九个区域是全市的部分区域，因此全市总计人数大于等于九个区域人数总和。,,,,,,,,,,,,,,,,,,
