,gtr,ggr,gike,gdo,gdp,gsd,grs,otr,ogr,oike,odo,odp,osd,ors,ptr,pgr,pike,pdo,pdp,psd,prs,vtr,vgr,vike,vdo,vdp,vsd,vrs
2022-03-18,30179.0,15000.0,12800.0,152.0,82.0,21.0,15.0,4670.0,1800.0,2500.0,71.0,19.0,35.0,15.0,6765.0,2000.0,2800.0,92.0,130.0,13.0,3.0,16679.0,10000.0,6610.0,1714.0,1400.0,7.0,7.0
2022-03-19,30123.0,15000.0,12700.0,128.0,47.0,21.0,15.0,4824.0,1800.0,2600.0,49.0,25.0,36.0,15.0,6794.0,2000.0,2800.0,144.0,185.0,13.0,3.0,16337.0,10000.0,6320.0,1668.0,1237.0,7.0,7.0
2022-03-20,29982.0,15000.0,12700.0,238.0,73.0,21.0,15.0,4750.0,1800.0,2500.0,31.0,2.0,35.0,15.0,6711.0,2000.0,2800.0,129.0,148.0,13.0,3.0,15889.0,10000.0,6150.0,1498.0,1126.0,7.0,7.0
2022-03-21,29935.0,15000.0,12700.0,130.0,69.0,20.0,15.0,4747.0,1800.0,2500.0,24.0,1.0,35.0,15.0,6841.0,2000.0,2900.0,107.0,119.0,13.0,3.0,15521.0,10000.0,5770.0,1544.0,973.0,7.0,7.0
2022-03-22,29942.0,15000.0,12700.0,65.0,69.0,20.0,15.0,4744.0,1800.0,2500.0,23.0,2.0,35.0,15.0,6865.0,2000.0,2900.0,99.0,119.0,13.0,3.0,15158.0,10000.0,6590.0,1443.0,956.0,7.0,7.0
2022-03-23,30796.0,15000.0,12680.0,12.0,1.0,21.0,15.0,4754.0,1800.0,2500.0,8.0,0.1,35.0,15.0,6808.0,2000.0,2900.0,77.0,95.0,13.0,3.0,14768.0,71002900.0,7100.0,1427.0,1092.0,7.0,7.0
2022-03-24,29851.0,15000.0,12680.0,43.0,3.0,20.0,15.0,4757.0,1800.0,2500.0,20.0,1.0,35.0,15.0,6839.0,2000.0,3000.0,97.0,126.0,13.0,3.0,14611.0,71002900.0,6700.0,1010.0,927.0,7.0,7.0
2022-03-25,18695.0,15000.0,1680.0,74.0,6.0,13.0,15.0,3000.0,1800.0,800.0,23.0,33.0,22.0,15.0,5138.0,2000.0,3000.0,125.0,128.0,10.0,3.0,3824.0,0,2890.0,1296.0,1439.0,3.0,7.0
2022-03-26,18310.0,15000.0,1570.0,78.0,32.0,13.0,15.0,3707.0,1800.0,1240.0,21.0,15.0,27.0,15.0,5395.0,2000.0,3300.0,123.0,112.0,10.0,3.0,1879.0,0,1430.0,3535.0,1805.0,1.0,7.0
2022-03-27,17998.0,15000.0,1510.0,119.0,32.0,12.0,15.0,3641.0,1800.0,1160.0,37.0,17.0,27.0,15.0,5395.0,2000.0,3300.0,168.0,192.0,10.0,3.0,1804.0,0,1264.0,2908.0,2873.0,1.0,7.0
2022-03-28,17617.0,15000.0,1218.0,74.0,52.0,12.0,15.0,2816.0,1800.0,560.0,15.0,16.0,21.0,15.0,5414.0,2000.0,3300.0,65.0,220.0,10.0,3.0,2819.0,0,2227.0,1874.0,2998.0,2.0,7.0
2022-03-29,17739.0,15000.0,1218.0,52.0,79.0,12.0,15.0,3814.0,1800.0,1460.0,24.0,27.0,28.0,15.0,5555.0,2000.0,3400.0,67.0,71.0,11.0,3.0,2626.0,0,2072.0,940.0,886.0,2.0,7.0
2022-03-30,17669.0,15000.0,1710.0,38.0,12.0,12.0,15.0,3779.0,1800.0,1460.0,17.0,11.0,28.0,15.0,5576.0,2000.0,3400.0,86.0,107.0,11.0,3.0,2268.0,0,1750.0,525.0,384.0,1.0,7.0
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
