,szzybbdw,szzyjsscb,szzyjssczl,szzyffscb,szzyffsczl,sjzcjsscb,sjzcjssczl,sjzcffscb,sjzcffsczl,sdzbzcscb,sdzbzcsczl,sdzbffscb,sdzbffsczl,hjjszcscb,hjjszcsczl,hjffscb,hjffsczl,date
2022-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20827.0,0.0,0.0,0.0,2022-03-26
2022-03-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74113.0,0.0,0.0,0.0,2022-03-27
2022-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139827.0,868.9,0.0,0.0,2022-03-28
2022-03-29,0,101208.0,976.9,0.0,0.0,112119.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,213327.0,0.0,69567.0,0.0,2022-03-29
2022-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211170.0,0.0,211170.0,0.0,2022-03-30
2022-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189404.0,0.0,189404.0,0.0,2022-03-31
2022-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140480.0,0.0,140480.0,0.0,2022-04-01
2022-04-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65959.0,0.0,2022-04-02
2022-04-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119463.0,0.0,2022-04-03
2022-04-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71536.0,0.0,73895.0,0.0,2022-04-04
2022-04-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75212.0,0.0,88615.0,0.0,2022-04-05
2022-04-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83720.0,0.0,85143.0,0.0,2022-04-06
2022-04-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83827.0,0.0,112203.0,0.0,2022-04-07
2022-04-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156813.0,0.0,156945.0,0.0,2022-04-08
2022-04-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240625.0,0.0,165292.0,0.0,2022-04-09
2022-04-10,0,0.0,0.0,0.0,0.0,71229.0,711.03,71147.0,559.8,220773.0,2009.87,184315.0,1697.12,292002.0,2720.9,255462.0,2256.92,2022-04-10
2022-04-11,0,48000.0,630.0,36452.0,502.5,95486.0,859.374,86641.0,768.0900000000001,150032.0,1331.23,127790.0,1133.0100000000002,293518.0,2820.6040000000003,250883.0,2403.6,2022-04-11
2022-04-12,0,61219.0,727.19,29643.0,326.43,87938.0,791.44,59446.0,535.004,141686.0,1228.0525,128037.0,1128.05,290843.0,2746.6825000000003,217126.0,1989.484,2022-04-12
2022-04-13,0,28259.0,309.06,21064.0,201.1,15923.0,143.31,43969.0,395.72100000000006,101168.0,837.8,94938.0,764.88,145350.0,1290.1699999999998,159971.0,1361.7009999999998,2022-04-13
2022-04-14,0,45638.0,524.11,42877.0,503.79,4902.0,44.118,4902.0,44.118,63791.0,547.95,64603.0,562.2299999999999,114331.0,1116.178,112382.0,1110.138,2022-04-14
2022-04-15,0,43743.0,552.4300000000001,42958.0,539.2,10304.0,92.74000000000001,10304.0,92.74000000000001,59700.0,521.25,57097.0,470.31000000000006,113747.0,1166.42,110359.0,1102.2499999999998,2022-04-15
2022-04-16,0,30402.0,369.16999999999996,28350.0,342.53,0.0,0.0,0.0,0.0,50575.0,388.35,45493.0,396.59,80977.0,757.5199999999999,73843.0,739.12,2022-04-16
2022-04-17,0,5356.0,42.8,18363.0,186.51,0.0,0.0,0.0,0.0,42634.0,311.49,56331.0,468.49,47990.0,354.29,74694.0,655.0,2022-04-17
2022-04-18,0,2000.0,20.0,10098.0,89.66,6323.0,56.91,6323.0,56.91,41535.0,323.46000000000004,39877.0,306.76,49858.0,400.37000000000006,56298.0,453.33000000000004,2022-04-18
2022-04-19,0,2000.0,20.0,5866.0,52.949999999999996,1992.0,17.93,1992.0,17.93,40297.0,378.38,41010.0,384.28,44289.0,416.31000000000006,48868.0,455.16,2022-04-19
2022-04-20,0,0.0,0.0,8558.0,68.4,6992.0,62.928,6992.0,62.928,20950.0,206.7,15509.0,150.85000000000002,27942.0,269.628,31059.0,282.178,2022-04-20
2022-04-21,0,0.0,0.0,6729.0,77.4,5000.0,45.0,5000.0,45.0,13771.0,137.70999999999998,14178.0,140.82,18771.0,182.70999999999998,25907.0,263.21999999999997,2022-04-21
2022-04-22,0,0.0,0.0,6680.0,86.8,6500.0,58.5,6500.0,58.5,9865.0,98.7,11086.0,110.2,16365.0,157.2,24266.0,255.5,2022-04-22
